Product_ID,Product_Name,Supplier_Region,Lead_Time_Days,Order_Volume_Units,Cost_per_Unit,Supply_Risk_Score,Profit_Impact_Score,Environmental_Impact,Single_Source_Risk,Kraljic_Category
P056,Semiconductors,Africa,29,168,224.99,4,3,4,Yes,Strategic
P057,Pharma APIs,Africa,41,141,227.36,4,3,5,Yes,Strategic
P058,Semiconductors,South America,13,850,411.75,3,3,5,Yes,Strategic
P059,AI Chips,Asia,89,894,221.83,3,5,5,Yes,Strategic
P060,Pharma APIs,Asia,37,599,311.19,4,4,4,No,Strategic
P061,Semiconductors,Africa,51,190,367.52,4,5,5,No,Strategic
P062,Lithium Batteries,Africa,7,759,371.44,4,5,5,No,Strategic
P063,Semiconductors,Asia,12,290,488.65,4,4,5,Yes,Strategic
P064,AI Chips,South America,42,928,490.96,4,5,4,No,Strategic
P065,Semiconductors,Africa,60,146,222.63,5,4,4,Yes,Strategic
P066,AI Chips,South America,42,111,421.13,3,5,5,No,Strategic
P067,AI Chips,Africa,23,639,268.82,5,5,5,Yes,Strategic
P068,Lithium Batteries,South America,12,831,444.14,5,3,5,Yes,Strategic
P069,AI Chips,South America,11,549,374.35,5,4,5,No,Strategic
P070,Semiconductors,Africa,69,245,433.28,4,4,5,No,Strategic
P071,Lithium Batteries,Africa,27,560,452.64,5,3,4,Yes,Strategic
P072,Pharma APIs,Africa,59,808,407.51,3,5,4,No,Strategic
P073,Lithium Batteries,Asia,83,184,313.36,5,4,5,Yes,Strategic
P074,Pharma APIs,Africa,40,899,401.51,5,4,5,Yes,Strategic
P075,AI Chips,Asia,63,367,356.05,5,4,4,Yes,Strategic
P076,Lithium Batteries,South America,44,306,208.63,5,5,4,Yes,Strategic
P077,Pharma APIs,Africa,58,197,305.18,5,5,5,Yes,Strategic
P078,Lithium Batteries,Asia,10,641,435.1,4,3,4,Yes,Strategic
P079,AI Chips,South America,72,607,347.63,5,3,5,Yes,Strategic
P080,Lithium Batteries,Africa,22,982,373.89,5,5,4,Yes,Strategic
P081,Pharma APIs,Africa,67,380,408.95,4,5,4,No,Strategic
P082,AI Chips,South America,7,565,446.54,3,4,5,Yes,Strategic
P083,Lithium Batteries,Asia,32,645,261.9,5,4,4,Yes,Strategic
P084,Lithium Batteries,Asia,42,155,406.34,3,4,5,Yes,Strategic
P085,Lithium Batteries,South America,34,791,379.18,5,4,4,Yes,Strategic
P086,Semiconductors,Africa,29,765,416.15,5,5,5,Yes,Strategic
P087,AI Chips,Africa,34,373,209.14,5,3,5,Yes,Strategic
P088,AI Chips,Asia,31,185,452.21,3,3,5,Yes,Strategic
P089,Pharma APIs,South America,14,245,394.65,5,5,4,Yes,Strategic
P090,Pharma APIs,South America,62,524,238.27,4,5,4,Yes,Strategic
P091,Semiconductors,South America,10,388,381.73,4,5,4,Yes,Strategic
P092,AI Chips,Africa,37,706,285.53,5,5,5,No,Strategic
P093,Pharma APIs,Africa,57,105,499.18,5,5,5,Yes,Strategic
P094,AI Chips,Asia,74,491,367.03,4,5,5,Yes,Strategic
P095,Semiconductors,South America,17,239,420.87,5,3,4,No,Strategic
P096,Semiconductors,South America,16,772,359.78,4,5,5,Yes,Strategic
P097,Pharma APIs,Asia,81,695,405.37,4,3,4,Yes,Strategic
P098,Semiconductors,South America,81,705,323.55,5,5,4,No,Strategic
P099,Lithium Batteries,Asia,20,612,313.77,5,4,5,No,Strategic
P100,Pharma APIs,South America,48,104,249.28,5,3,4,Yes,Strategic
P101,Lithium Batteries,Asia,29,715,335.58,5,4,5,No,Strategic
P102,Semiconductors,South America,45,324,269.66,3,5,4,Yes,Strategic
P103,Semiconductors,Africa,39,278,299.84,5,4,5,Yes,Strategic
P104,Pharma APIs,Asia,61,256,371.95,4,5,5,No,Strategic
P105,Lithium Batteries,Asia,19,621,370.97,5,5,4,No,Strategic
P106,Semiconductors,Asia,74,795,337.1,3,5,4,No,Strategic
P107,Pharma APIs,South America,75,726,203.66,5,5,4,Yes,Strategic
P108,Pharma APIs,Africa,18,649,472.54,4,5,5,Yes,Strategic
P109,AI Chips,Asia,37,722,351.77,3,5,5,No,Strategic
P110,AI Chips,Africa,52,561,223.2,5,4,5,No,Strategic
P111,Lithium Batteries,Africa,46,281,451.67,4,5,4,No,Strategic
P112,Semiconductors,Asia,41,236,216.43,4,3,5,No,Strategic
P113,Semiconductors,Africa,23,905,459.06,5,5,5,Yes,Strategic
P114,Pharma APIs,Africa,39,278,335.73,4,3,5,Yes,Strategic
P115,Lithium Batteries,Asia,55,765,283.28,5,3,5,Yes,Strategic
P116,Pharma APIs,Asia,57,800,225.6,4,5,5,Yes,Strategic
P117,Semiconductors,Asia,24,769,304.82,5,5,4,Yes,Strategic
P118,Lithium Batteries,South America,57,293,335.99,5,4,5,Yes,Strategic
P119,Semiconductors,South America,40,154,300.31,5,5,4,No,Strategic
P120,Pharma APIs,Asia,73,899,493.68,3,5,5,No,Strategic
P121,Pharma APIs,Asia,14,427,351.65,5,5,5,Yes,Strategic
P122,AI Chips,Asia,20,387,496.62,4,4,5,No,Strategic
P123,Semiconductors,Asia,25,429,226.08,5,4,4,No,Strategic
P124,Pharma APIs,Africa,8,996,411.18,4,5,4,Yes,Strategic
P125,Semiconductors,South America,59,360,280.42,3,4,4,Yes,Strategic
P126,Pharma APIs,South America,87,463,492.36,5,5,5,Yes,Strategic
P127,AI Chips,Africa,28,651,280.6,3,4,5,Yes,Strategic
P128,Semiconductors,Asia,24,128,239.68,5,5,4,Yes,Strategic
P129,Pharma APIs,South America,33,133,372.95,4,5,4,Yes,Strategic
P130,Lithium Batteries,Asia,51,709,419.66,5,5,5,Yes,Strategic
P131,Lithium Batteries,South America,57,733,314.94,5,3,5,Yes,Strategic
P132,Lithium Batteries,Asia,60,248,273.6,5,5,4,Yes,Strategic
P133,AI Chips,South America,87,505,486.23,5,5,4,Yes,Strategic
P134,AI Chips,Asia,7,300,246.4,3,3,5,Yes,Strategic
P135,Lithium Batteries,South America,18,124,379.49,3,5,4,Yes,Strategic
P136,Semiconductors,Asia,53,916,442.23,5,4,4,No,Strategic
P137,Pharma APIs,Africa,86,875,461.88,4,5,4,No,Strategic
P138,AI Chips,Asia,53,367,471.01,4,4,4,Yes,Strategic
P139,Pharma APIs,Africa,13,893,477.57,5,5,4,Yes,Strategic
P140,Lithium Batteries,Africa,24,926,234.58,4,5,4,No,Strategic
P141,Semiconductors,Asia,43,258,211.1,5,5,5,Yes,Strategic
P142,Semiconductors,Asia,31,463,417.43,4,5,4,Yes,Strategic
P143,Lithium Batteries,Africa,40,525,465.79,5,4,5,Yes,Strategic
P144,AI Chips,Africa,35,373,255.64,5,4,5,No,Strategic
P145,AI Chips,Africa,36,847,211.28,3,4,4,Yes,Strategic
P146,Lithium Batteries,Asia,74,676,356.76,4,4,5,Yes,Strategic
P147,AI Chips,Asia,74,804,212.63,5,3,4,No,Strategic
P148,Pharma APIs,Africa,68,479,439.4,4,5,5,No,Strategic
P149,Lithium Batteries,Asia,80,871,423.01,5,4,4,Yes,Strategic
P150,Semiconductors,South America,60,852,266.15,4,3,5,No,Strategic
P151,Semiconductors,Africa,56,119,355.48,4,5,5,Yes,Strategic
P152,AI Chips,Asia,79,259,246.17,5,3,4,Yes,Strategic
P153,Pharma APIs,Asia,31,716,227.45,4,5,5,Yes,Strategic
P154,AI Chips,Africa,44,139,442.85,5,5,4,Yes,Strategic
P155,Pharma APIs,Asia,87,553,214.64,3,3,4,Yes,Strategic
P156,AI Chips,South America,39,448,344.18,5,3,4,No,Strategic
P157,AI Chips,Asia,51,191,460.45,4,5,4,Yes,Strategic
P158,Lithium Batteries,Asia,64,766,231.75,5,4,5,Yes,Strategic
P159,Lithium Batteries,South America,88,493,447.75,5,5,5,Yes,Strategic
P160,Pharma APIs,Asia,23,623,426.99,5,5,4,Yes,Strategic
P161,Pharma APIs,South America,77,955,390.2,5,5,4,No,Strategic
P162,AI Chips,Asia,74,511,452.04,3,5,5,Yes,Strategic
P163,Pharma APIs,South America,71,830,220.35,4,5,5,No,Strategic
P164,AI Chips,Asia,58,405,213.72,5,5,5,No,Strategic
P165,Lithium Batteries,Africa,32,132,219.69,5,4,5,Yes,Strategic
P166,AI Chips,Africa,35,198,499.14,5,4,4,No,Strategic
P167,Semiconductors,Africa,62,183,224.71,4,5,5,Yes,Strategic
P168,Pharma APIs,Africa,9,968,472.86,3,3,4,No,Strategic
P169,Semiconductors,Asia,21,626,468.23,3,5,5,Yes,Strategic
P170,Pharma APIs,Asia,52,529,490.46,5,5,4,No,Strategic
P171,AI Chips,Africa,31,792,387.87,5,5,5,No,Strategic
P172,AI Chips,South America,8,335,237.56,4,5,5,Yes,Strategic
P173,Pharma APIs,South America,44,820,495.31,5,4,5,Yes,Strategic
P174,Pharma APIs,South America,23,201,427.12,5,3,4,Yes,Strategic
P175,Pharma APIs,Asia,8,691,242.75,4,5,5,Yes,Strategic
P176,Lithium Batteries,Africa,52,688,305.19,4,4,5,Yes,Strategic
P177,AI Chips,Africa,12,986,260.05,4,5,5,Yes,Strategic
P178,Lithium Batteries,South America,13,515,215.59,5,4,4,No,Strategic
P179,Semiconductors,Africa,66,413,364.28,5,4,5,Yes,Strategic
P180,AI Chips,Asia,25,111,417.45,4,5,4,Yes,Strategic
P181,Semiconductors,Africa,24,832,423.28,5,5,4,Yes,Strategic
P182,Semiconductors,South America,67,972,498.9,5,5,4,Yes,Strategic
P183,Lithium Batteries,Africa,30,431,261.07,5,3,4,No,Strategic
P184,Pharma APIs,South America,42,481,420.61,3,5,5,Yes,Strategic
P185,AI Chips,South America,64,677,346.0,5,5,4,No,Strategic
P186,AI Chips,Asia,14,629,315.15,5,5,5,No,Strategic
P187,Pharma APIs,Asia,47,625,253.9,4,5,5,Yes,Strategic
P188,AI Chips,South America,23,113,321.51,5,5,5,Yes,Strategic
P189,Semiconductors,Asia,53,262,319.71,3,5,4,Yes,Strategic
P190,Semiconductors,South America,7,369,222.05,4,4,5,Yes,Strategic
P191,Lithium Batteries,Asia,53,612,385.14,5,4,4,Yes,Strategic
P192,Lithium Batteries,Africa,67,731,434.54,5,4,5,Yes,Strategic
P193,Pharma APIs,Asia,41,610,217.13,4,5,4,No,Strategic
P194,AI Chips,South America,49,260,226.57,3,4,4,Yes,Strategic
P195,AI Chips,Africa,29,284,391.74,5,4,4,Yes,Strategic
P196,Pharma APIs,South America,14,737,237.72,5,5,4,Yes,Strategic
P197,AI Chips,Africa,40,768,419.25,4,5,5,Yes,Strategic
P198,Lithium Batteries,South America,82,513,483.38,5,3,5,Yes,Strategic
P199,Semiconductors,South America,68,900,406.86,4,3,4,Yes,Strategic
P200,Pharma APIs,Asia,83,674,381.49,4,4,4,No,Strategic
P201,Semiconductors,South America,88,480,463.55,5,4,5,Yes,Strategic
P202,Lithium Batteries,South America,21,430,330.67,5,3,4,Yes,Strategic
P203,Lithium Batteries,Asia,50,927,318.85,4,5,4,Yes,Strategic
P204,AI Chips,South America,32,721,381.03,4,5,5,Yes,Strategic
P205,Pharma APIs,Asia,85,728,343.75,5,4,4,Yes,Strategic
P206,Pharma APIs,Africa,27,442,318.31,5,3,5,No,Strategic
P207,Semiconductors,Africa,74,216,469.01,5,5,5,No,Strategic
P208,Lithium Batteries,Asia,35,433,258.37,4,5,4,Yes,Strategic
P209,Semiconductors,South America,10,205,374.28,4,3,5,No,Strategic
P210,AI Chips,Asia,69,450,254.34,5,5,5,Yes,Strategic
P211,Pharma APIs,Africa,50,135,255.57,4,4,5,Yes,Strategic
P212,Pharma APIs,Asia,32,240,233.69,4,4,4,Yes,Strategic
P213,Lithium Batteries,Asia,43,732,252.43,4,5,4,No,Strategic
P214,Pharma APIs,South America,61,159,446.78,5,5,4,Yes,Strategic
P215,AI Chips,Asia,54,207,270.57,3,4,5,Yes,Strategic
P216,Lithium Batteries,South America,63,259,382.13,3,3,4,Yes,Strategic
P217,AI Chips,South America,45,362,282.36,4,4,4,Yes,Strategic
P218,Lithium Batteries,South America,38,799,497.38,4,4,5,Yes,Strategic
P219,Semiconductors,Asia,76,840,279.47,3,5,4,Yes,Strategic
P220,Lithium Batteries,Africa,78,927,332.72,3,5,5,Yes,Strategic
P221,AI Chips,South America,87,157,269.25,5,5,4,Yes,Strategic
P222,Semiconductors,Asia,37,363,339.56,4,3,5,Yes,Strategic
P223,Semiconductors,Asia,29,545,360.75,5,4,5,Yes,Strategic
P224,Pharma APIs,Asia,76,971,206.01,4,4,5,Yes,Strategic
P225,AI Chips,South America,20,260,426.58,5,4,4,No,Strategic
P226,Pharma APIs,Africa,71,677,278.93,3,3,4,Yes,Strategic
P227,Semiconductors,South America,49,765,283.91,5,5,5,No,Strategic
P228,Semiconductors,South America,51,589,455.43,5,5,5,No,Strategic
P229,Semiconductors,Africa,21,561,359.74,5,4,5,Yes,Strategic
P230,Lithium Batteries,South America,31,565,246.14,3,5,5,No,Strategic
P231,Lithium Batteries,South America,58,881,476.83,5,3,4,Yes,Strategic
P232,Semiconductors,Asia,85,752,447.56,4,3,4,Yes,Strategic
P233,Pharma APIs,Africa,66,227,433.02,4,5,5,Yes,Strategic
P234,Semiconductors,Africa,11,353,264.81,5,5,5,Yes,Strategic
P235,Semiconductors,Africa,89,481,263.53,5,4,4,No,Strategic
P236,Lithium Batteries,Asia,58,289,236.42,5,3,5,Yes,Strategic
P237,Lithium Batteries,Africa,13,330,358.11,5,4,5,Yes,Strategic
P238,Semiconductors,South America,68,840,448.26,5,5,4,No,Strategic
P239,Semiconductors,Africa,19,760,437.1,3,4,5,Yes,Strategic
P240,Lithium Batteries,Asia,66,792,388.79,5,4,5,Yes,Strategic
P241,Semiconductors,South America,58,282,453.31,4,5,4,Yes,Strategic
P242,Lithium Batteries,Asia,7,496,435.5,4,4,4,No,Strategic
P243,AI Chips,Asia,40,109,276.4,5,5,5,Yes,Strategic
P244,Pharma APIs,Asia,38,178,391.0,5,4,4,Yes,Strategic
P245,Pharma APIs,Africa,57,944,404.07,3,3,5,Yes,Strategic
P246,Pharma APIs,Africa,58,247,210.67,4,5,4,Yes,Strategic
P247,Semiconductors,Asia,14,662,435.15,4,4,4,Yes,Strategic
P248,Pharma APIs,Asia,85,467,224.79,4,5,5,No,Strategic
P249,AI Chips,Asia,68,935,276.62,4,5,5,Yes,Strategic
P250,Semiconductors,South America,38,751,439.61,4,4,4,No,Strategic
P251,Customized Valves,Asia,79,275,223.3,5,3,3,Yes,Bottleneck
P252,Rare Earth Metals,Europe,52,163,210.02,4,2,4,Yes,Bottleneck
P253,Rare Earth Metals,Asia,24,81,157.18,4,2,4,Yes,Bottleneck
P254,Rare Earth Metals,Asia,28,441,192.11,5,3,4,Yes,Bottleneck
P255,Customized Valves,Asia,56,318,207.91,5,3,4,Yes,Bottleneck
P256,Customized Valves,Asia,62,93,130.14,3,1,3,Yes,Bottleneck
P257,Customized Valves,Asia,14,462,213.0,3,1,4,Yes,Bottleneck
P258,Specialty Gases,Europe,16,413,262.35,5,2,3,Yes,Bottleneck
P259,Rare Earth Metals,Asia,64,460,223.2,4,2,4,Yes,Bottleneck
P260,Specialty Gases,Europe,76,170,102.21,5,2,4,Yes,Bottleneck
P261,Catalysts,Europe,32,160,124.94,4,2,3,Yes,Bottleneck
P262,Rare Earth Metals,Europe,26,408,100.38,4,1,3,Yes,Bottleneck
P263,Rare Earth Metals,Europe,10,63,196.19,4,2,3,Yes,Bottleneck
P264,Catalysts,Europe,69,131,235.29,5,1,3,Yes,Bottleneck
P265,Specialty Gases,Asia,54,125,239.08,5,3,4,No,Bottleneck
P266,Rare Earth Metals,Europe,53,232,165.64,4,3,3,Yes,Bottleneck
P267,Customized Valves,Europe,21,210,159.89,5,3,3,Yes,Bottleneck
P268,Specialty Gases,Asia,16,408,249.44,3,1,3,No,Bottleneck
P269,Specialty Gases,Europe,57,399,240.05,3,2,4,Yes,Bottleneck
P270,Rare Earth Metals,Europe,27,459,270.55,3,1,3,Yes,Bottleneck
P271,Specialty Gases,Asia,7,139,241.2,5,2,4,Yes,Bottleneck
P272,Catalysts,Europe,30,231,253.1,3,3,4,Yes,Bottleneck
P273,Rare Earth Metals,Europe,61,413,113.79,5,2,4,Yes,Bottleneck
P274,Catalysts,Asia,50,449,294.97,4,2,4,Yes,Bottleneck
P275,Rare Earth Metals,Asia,39,133,106.72,3,2,4,No,Bottleneck
P276,Customized Valves,Europe,27,209,279.97,5,3,4,Yes,Bottleneck
P277,Specialty Gases,Asia,9,191,257.54,5,1,3,Yes,Bottleneck
P278,Customized Valves,Europe,47,452,213.07,4,1,3,No,Bottleneck
P279,Rare Earth Metals,Asia,34,376,145.06,4,1,4,Yes,Bottleneck
P280,Specialty Gases,Europe,71,226,258.34,4,1,3,Yes,Bottleneck
P281,Specialty Gases,Europe,45,161,289.14,5,1,3,Yes,Bottleneck
P282,Specialty Gases,Asia,55,343,257.39,5,3,4,Yes,Bottleneck
P283,Catalysts,Europe,85,203,274.43,5,2,3,Yes,Bottleneck
P284,Specialty Gases,Europe,69,430,151.1,5,1,3,Yes,Bottleneck
P285,Specialty Gases,Asia,58,93,192.79,4,3,3,Yes,Bottleneck
P286,Customized Valves,Europe,42,452,176.08,4,1,3,No,Bottleneck
P287,Rare Earth Metals,Europe,66,96,259.58,4,2,3,No,Bottleneck
P288,Catalysts,Asia,46,385,133.21,5,3,3,Yes,Bottleneck
P289,Specialty Gases,Europe,10,57,140.4,5,1,3,Yes,Bottleneck
P290,Specialty Gases,Europe,69,81,116.69,5,1,3,Yes,Bottleneck
P291,Rare Earth Metals,Europe,65,318,233.58,4,2,4,Yes,Bottleneck
P292,Customized Valves,Europe,11,180,237.37,5,1,3,Yes,Bottleneck
P293,Customized Valves,Asia,72,421,271.64,3,3,4,Yes,Bottleneck
P294,Customized Valves,Europe,27,265,162.81,5,2,4,Yes,Bottleneck
P295,Catalysts,Asia,64,212,120.13,5,2,4,No,Bottleneck
P296,Customized Valves,Asia,41,199,224.19,4,2,3,Yes,Bottleneck
P297,Rare Earth Metals,Europe,76,115,235.24,5,2,3,Yes,Bottleneck
P298,Rare Earth Metals,Asia,53,296,298.35,5,1,3,Yes,Bottleneck
P299,Specialty Gases,Europe,45,362,113.7,4,1,3,Yes,Bottleneck
P300,Rare Earth Metals,Asia,65,259,233.0,5,3,3,No,Bottleneck
P301,Customized Valves,Europe,36,191,175.9,5,3,4,Yes,Bottleneck
P302,Customized Valves,Europe,28,330,184.51,5,2,4,Yes,Bottleneck
P303,Catalysts,Europe,84,436,294.56,3,2,4,Yes,Bottleneck
P304,Customized Valves,Europe,59,170,225.65,4,1,4,Yes,Bottleneck
P305,Rare Earth Metals,Europe,81,314,152.66,4,2,4,Yes,Bottleneck
P306,Rare Earth Metals,Europe,47,271,159.98,4,1,3,Yes,Bottleneck
P307,Catalysts,Europe,70,111,115.79,5,2,3,Yes,Bottleneck
P308,Specialty Gases,Asia,79,374,204.29,4,1,4,Yes,Bottleneck
P309,Rare Earth Metals,Asia,46,265,273.71,5,3,4,Yes,Bottleneck
P310,Catalysts,Europe,27,64,192.89,4,2,3,Yes,Bottleneck
P311,Customized Valves,Europe,73,228,257.76,5,1,4,Yes,Bottleneck
P312,Specialty Gases,Europe,12,396,154.31,5,2,3,No,Bottleneck
P313,Specialty Gases,Europe,71,317,172.37,5,2,4,Yes,Bottleneck
P314,Rare Earth Metals,Asia,67,473,196.41,3,1,4,Yes,Bottleneck
P315,Specialty Gases,Asia,55,185,109.9,4,3,3,Yes,Bottleneck
P316,Catalysts,Asia,23,431,158.7,4,1,3,Yes,Bottleneck
P317,Catalysts,Europe,25,232,275.97,5,1,3,Yes,Bottleneck
P318,Customized Valves,Europe,18,50,154.95,3,1,4,Yes,Bottleneck
P319,Rare Earth Metals,Europe,52,152,264.76,4,2,4,Yes,Bottleneck
P320,Customized Valves,Europe,39,226,265.92,5,1,3,Yes,Bottleneck
P321,Customized Valves,Asia,21,288,118.46,4,2,4,Yes,Bottleneck
P322,Rare Earth Metals,Asia,20,154,233.71,3,2,4,Yes,Bottleneck
P323,Specialty Gases,Europe,8,88,123.15,5,1,4,Yes,Bottleneck
P324,Rare Earth Metals,Europe,71,345,206.79,5,2,4,Yes,Bottleneck
P325,Customized Valves,Asia,30,262,108.75,3,2,4,Yes,Bottleneck
P326,Rare Earth Metals,Asia,59,156,177.48,5,1,4,Yes,Bottleneck
P327,Specialty Gases,Europe,69,403,189.28,5,1,4,Yes,Bottleneck
P328,Customized Valves,Asia,62,362,216.44,5,1,4,Yes,Bottleneck
P329,Catalysts,Europe,80,105,128.52,5,1,3,Yes,Bottleneck
P330,Catalysts,Europe,54,175,101.34,4,2,3,Yes,Bottleneck
P331,Catalysts,Europe,65,80,211.94,4,2,4,Yes,Bottleneck
P332,Customized Valves,Europe,57,204,176.84,5,1,4,Yes,Bottleneck
P333,Specialty Gases,Europe,48,294,129.41,4,1,4,Yes,Bottleneck
P334,Catalysts,Asia,65,245,277.68,3,1,4,Yes,Bottleneck
P335,Customized Valves,Asia,55,273,106.19,4,1,4,Yes,Bottleneck
P336,Rare Earth Metals,Europe,57,428,252.38,5,1,3,Yes,Bottleneck
P337,Specialty Gases,Europe,69,70,168.49,5,1,4,Yes,Bottleneck
P338,Catalysts,Asia,88,403,130.1,3,2,3,Yes,Bottleneck
P339,Catalysts,Europe,42,324,258.5,4,1,3,Yes,Bottleneck
P340,Specialty Gases,Asia,27,166,292.81,5,1,4,Yes,Bottleneck
P341,Specialty Gases,Europe,25,233,124.96,4,1,4,Yes,Bottleneck
P342,Specialty Gases,Europe,39,401,196.68,5,3,4,Yes,Bottleneck
P343,Specialty Gases,Europe,59,252,177.31,4,2,4,Yes,Bottleneck
P344,Specialty Gases,Asia,54,224,188.69,3,3,3,Yes,Bottleneck
P345,Customized Valves,Europe,44,386,270.79,5,3,3,Yes,Bottleneck
P346,Customized Valves,Europe,49,238,202.09,4,1,3,Yes,Bottleneck
P347,Customized Valves,Europe,62,175,126.89,4,3,3,Yes,Bottleneck
P348,Specialty Gases,Asia,13,68,101.77,5,2,4,Yes,Bottleneck
P349,Customized Valves,Europe,7,50,266.83,3,1,3,Yes,Bottleneck
P350,Catalysts,Europe,81,72,120.88,4,3,3,Yes,Bottleneck
P351,Customized Valves,Asia,22,222,226.42,5,2,4,Yes,Bottleneck
P352,Specialty Gases,Europe,19,283,200.12,5,1,4,Yes,Bottleneck
P353,Catalysts,Europe,33,344,146.48,4,2,3,Yes,Bottleneck
P354,Specialty Gases,Asia,25,370,195.29,3,1,3,Yes,Bottleneck
P355,Rare Earth Metals,Europe,16,80,251.92,4,1,3,Yes,Bottleneck
P356,Catalysts,Europe,30,209,114.36,5,1,4,Yes,Bottleneck
P357,Customized Valves,Europe,84,254,204.03,5,3,3,Yes,Bottleneck
P358,Specialty Gases,Asia,32,124,225.91,4,3,3,Yes,Bottleneck
P359,Specialty Gases,Asia,50,392,241.4,5,1,4,Yes,Bottleneck
P360,Rare Earth Metals,Asia,50,170,286.18,5,1,3,Yes,Bottleneck
P361,Catalysts,Europe,23,190,278.37,5,1,3,No,Bottleneck
P362,Specialty Gases,Asia,29,365,212.93,4,3,3,Yes,Bottleneck
P363,Rare Earth Metals,Asia,79,466,233.28,5,1,4,Yes,Bottleneck
P364,Rare Earth Metals,Europe,53,342,226.87,5,1,4,Yes,Bottleneck
P365,Catalysts,Asia,19,285,173.74,4,2,3,Yes,Bottleneck
P366,Catalysts,Europe,51,378,142.4,4,1,4,Yes,Bottleneck
P367,Rare Earth Metals,Europe,34,312,127.32,5,1,4,Yes,Bottleneck
